30 90; 0 0; -30 30
<0: 11 -42; 31 19; -11 -2
11 43; 31 19; -11 -2
<0: 10 -38; 31 20; -10 -2
10 39; 31 20; -10 -2
<0: 9 -34; 31 21; -9 -2
9 35; 31 21; -9 -2
<0: 8 -30; 31 22; -8 -2
8 31; 31 22; -8 -2
<0: 7 -26; 31 23; -7 -2
7 27; 31 23; -7 -2
<0: 6 -22; 31 24; -6 -2
6 23; 31 24; -6 -2
<0: 5 -18; 31 25; -5 -2
5 19; 31 25; -5 -2
<0: 4 -14; 31 26; -4 -2
4 15; 31 26; -4 -2
<0: 3 -10; 31 27; -3 -2
3 11; 31 27; -3 -2
<0: 2 -6; 31 28; -2 -2
2 7; 31 28; -2 -2
<0: 2 -5; 31 29; -1 -2
2 8; 31 29; -1 -2
<0: 2 -3; 31 30; 1 -2
2 10; 31 30; 1 -2
<0: 2 -2; 31 31; 2 -2
2 11; 31 31; 2 -2
<0: 3 -2; 31 32; 3 -2
3 19; 31 32; 3 -2
<0: 4 -2; 31 33; 4 -2
4 27; 31 33; 4 -2
<0: 5 -2; 31 34; 5 -2
5 35; 31 34; 5 -2
<0: 6 -2; 31 35; 6 -2
6 43; 31 35; 6 -2
<0: 7 -2; 31 36; 7 -2
7 51; 31 36; 7 -2
<0: 8 -2; 31 37; 8 -2
8 59; 31 37; 8 -2
<0: 9 -2; 31 38; 9 -2
9 67; 31 38; 9 -2
<0: 10 -2; 31 39; 10 -2
10 75; 31 39; 10 -2
<0: 11 -2; 31 40; 11 -2
11 83; 31 40; 11 -2
<0: 12 -2; 31 41; 12 -2
12 91; 31 41; 12 -2
<0: 13 -2; 31 42; 13 -2
13 99; 31 42; 13 -2
<0: 14 -2; 31 43; 14 -2
14 107; 31 43; 14 -2
<0: 15 -2; 31 44; 15 -2
15 115; 31 44; 15 -2
<0: 16 -2; 31 45; 16 -2
16 123; 31 45; 16 -2
<0: 17 -2; 31 46; 17 -2
17 131; 31 46; 17 -2
<0: 18 -2; 31 47; 18 -2
18 139; 31 47; 18 -2
<0: 19 -2; 31 48; 19 -2
19 147; 31 48; 19 -2
<0: 20 -2; 31 49; 20 -2
20 155; 31 49; 20 -2
<0: 21 -2; 31 50; 21 -2
21 163; 31 50; 21 -2
<0: 22 -2; 31 51; 22 -2
22 171; 31 51; 22 -2
<0: 23 -2; 31 52; 23 -2
23 179; 31 52; 23 -2
<0: 24 -2; 31 53; 24 -2
24 187; 31 53; 24 -2
<0: 25 -2; 31 54; 25 -2
25 195; 31 54; 25 -2
<0: 26 -2; 31 55; 26 -2
26 203; 31 55; 26 -2
<0: 27 -2; 31 56; 27 -2
27 211; 31 56; 27 -2
<0: 28 -2; 31 57; 28 -2
28 219; 31 57; 28 -2
<0: 29 -2; 31 58; 29 -2
29 227; 31 58; 29 -2
<0: 30 -2; 31 59; 30 -2
30 235; 31 59; 30 -2
<0: 30 -117; 32 0; -30 -3
30 120; 32 0; -30 -3
<0: 29 -113; 32 1; -29 -3
29 116; 32 1; -29 -3
<0: 28 -109; 32 2; -28 -3
28 112; 32 2; -28 -3
<0: 27 -105; 32 3; -27 -3
27 108; 32 3; -27 -3
<0: 26 -101; 32 4; -26 -3
26 104; 32 4; -26 -3
<0: 25 -97; 32 5; -25 -3
25 100; 32 5; -25 -3
<0: 24 -93; 32 6; -24 -3
24 96; 32 6; -24 -3
<0: 23 -89; 32 7; -23 -3
23 92; 32 7; -23 -3
<0: 22 -85; 32 8; -22 -3
22 88; 32 8; -22 -3
<0: 21 -81; 32 9; -21 -3
21 84; 32 9; -21 -3
<0: 20 -77; 32 10; -20 -3
20 80; 32 10; -20 -3
<0: 19 -73; 32 11; -19 -3
19 76; 32 11; -19 -3
<0: 18 -69; 32 12; -18 -3
18 72; 32 12; -18 -3
<0: 17 -65; 32 13; -17 -3
17 68; 32 13; -17 -3
<0: 16 -61; 32 14; -16 -3
16 64; 32 14; -16 -3
<0: 15 -57; 32 15; -15 -3
15 60; 32 15; -15 -3
<0: 14 -53; 32 16; -14 -3
14 56; 32 16; -14 -3
<0: 13 -49; 32 17; -13 -3
13 52; 32 17; -13 -3
<0: 12 -45; 32 18; -12 -3
12 48; 32 18; -12 -3
<0: 11 -41; 32 19; -11 -3
11 44; 32 19; -11 -3
<0: 10 -37; 32 20; -10 -3
10 40; 32 20; -10 -3
<0: 9 -33; 32 21; -9 -3
9 36; 32 21; -9 -3
<0: 8 -29; 32 22; -8 -3
8 32; 32 22; -8 -3
<0: 7 -25; 32 23; -7 -3
7 28; 32 23; -7 -3
<0: 6 -21; 32 24; -6 -3
6 24; 32 24; -6 -3
<0: 5 -17; 32 25; -5 -3
5 20; 32 25; -5 -3
<0: 4 -13; 32 26; -4 -3
4 16; 32 26; -4 -3
<0: 3 -9; 32 27; -3 -3
3 12; 32 27; -3 -3
<0: 3 -8; 32 28; -2 -3
3 13; 32 28; -2 -3
<0: 3 -7; 32 29; -1 -3
3 14; 32 29; -1 -3
<0: 3 -5; 32 30; 1 -3
3 16; 32 30; 1 -3
<0: 3 -4; 32 31; 2 -3
3 17; 32 31; 2 -3
<0: 3 -3; 32 32; 3 -3
3 18; 32 32; 3 -3
<0: 4 -3; 32 33; 4 -3
4 26; 32 33; 4 -3
<0: 5 -3; 32 34; 5 -3
5 34; 32 34; 5 -3
<0: 6 -3; 32 35; 6 -3
6 42; 32 35; 6 -3
<0: 7 -3; 32 36; 7 -3
7 50; 32 36; 7 -3
<0: 8 -3; 32 37; 8 -3
8 58; 32 37; 8 -3
<0: 9 -3; 32 38; 9 -3
9 66; 32 38; 9 -3
<0: 10 -3; 32 39; 10 -3
10 74; 32 39; 10 -3
<0: 11 -3; 32 40; 11 -3
11 82; 32 40; 11 -3
<0: 12 -3; 32 41; 12 -3
12 90; 32 41; 12 -3
<0: 13 -3; 32 42; 13 -3
13 98; 32 42; 13 -3
<0: 14 -3; 32 43; 14 -3
14 106; 32 43; 14 -3
<0: 15 -3; 32 44; 15 -3
15 114; 32 44; 15 -3
<0: 16 -3; 32 45; 16 -3
16 122; 32 45; 16 -3
<0: 17 -3; 32 46; 17 -3
17 130; 32 46; 17 -3
<0: 18 -3; 32 47; 18 -3
18 138; 32 47; 18 -3
<0: 19 -3; 32 48; 19 -3
19 146; 32 48; 19 -3
<0: 20 -3; 32 49; 20 -3
20 154; 32 49; 20 -3
<0: 21 -3; 32 50; 21 -3
21 162; 32 50; 21 -3
<0: 22 -3; 32 51; 22 -3
22 170; 32 51; 22 -3
<0: 23 -3; 32 52; 23 -3
23 178; 32 52; 23 -3
<0: 24 -3; 32 53; 24 -3
24 186; 32 53; 24 -3
<0: 25 -3; 32 54; 25 -3
25 194; 32 54; 25 -3
<0: 26 -3; 32 55; 26 -3
26 202; 32 55; 26 -3
<0: 27 -3; 32 56; 27 -3
27 210; 32 56; 27 -3
<0: 28 -3; 32 57; 28 -3
28 218; 32 57; 28 -3
<0: 29 -3; 32 58; 29 -3
29 226; 32 58; 29 -3
<0: 30 -3; 32 59; 30 -3
30 234; 32 59; 30 -3
<0: 30 -116; 33 0; -30 -4
30 121; 33 0; -30 -4
<0: 29 -112; 33 1; -29 -4
29 117; 33 1; -29 -4
<0: 28 -108; 33 2; -28 -4
28 113; 33 2; -28 -4
<0: 27 -104; 33 3; -27 -4
27 109; 33 3; -27 -4
<0: 26 -100; 33 4; -26 -4
26 105; 33 4; -26 -4
<0: 25 -96; 33 5; -25 -4
25 101; 33 5; -25 -4
<0: 24 -92; 33 6; -24 -4
24 97; 33 6; -24 -4
<0: 23 -88; 33 7; -23 -4
23 93; 33 7; -23 -4
<0: 22 -84; 33 8; -22 -4
22 89; 33 8; -22 -4
<0: 21 -80; 33 9; -21 -4
21 85; 33 9; -21 -4
<0: 20 -76; 33 10; -20 -4
20 81; 33 10; -20 -4
<0: 19 -72; 33 11; -19 -4
19 77; 33 11; -19 -4
<0: 18 -68; 33 12; -18 -4
18 73; 33 12; -18 -4
<0: 17 -64; 33 13; -17 -4
17 69; 33 13; -17 -4
<0: 16 -60; 33 14; -16 -4
16 65; 33 14; -16 -4
<0: 15 -56; 33 15; -15 -4
15 61; 33 15; -15 -4
<0: 14 -52; 33 16; -14 -4
14 57; 33 16; -14 -4
<0: 13 -48; 33 17; -13 -4
13 53; 33 17; -13 -4
<0: 12 -44; 33 18; -12 -4
12 49; 33 18; -12 -4
<0: 11 -40; 33 19; -11 -4
11 45; 33 19; -11 -4
<0: 10 -36; 33 20; -10 -4
10 41; 33 20; -10 -4
<0: 9 -32; 33 21; -9 -4
9 37; 33 21; -9 -4
<0: 8 -28; 33 22; -8 -4
8 33; 33 22; -8 -4
<0: 7 -24; 33 23; -7 -4
7 29; 33 23; -7 -4
<0: 6 -20; 33 24; -6 -4
6 25; 33 24; -6 -4
<0: 5 -16; 33 25; -5 -4
5 21; 33 25; -5 -4
<0: 4 -12; 33 26; -4 -4
4 17; 33 26; -4 -4
<0: 4 -11; 33 27; -3 -4
4 18; 33 27; -3 -4
<0: 4 -10; 33 28; -2 -4
4 19; 33 28; -2 -4
<0: 4 -9; 33 29; -1 -4
4 20; 33 29; -1 -4
<0: 4 -7; 33 30; 1 -4
4 22; 33 30; 1 -4
<0: 4 -6; 33 31; 2 -4
4 23; 33 31; 2 -4
<0: 4 -5; 33 32; 3 -4
4 24; 33 32; 3 -4
<0: 4 -4; 33 33; 4 -4
4 25; 33 33; 4 -4
<0: 5 -4; 33 34; 5 -4
5 33; 33 34; 5 -4
<0: 6 -4; 33 35; 6 -4
6 41; 33 35; 6 -4
<0: 7 -4; 33 36; 7 -4
7 49; 33 36; 7 -4
<0: 8 -4; 33 37; 8 -4
8 57; 33 37; 8 -4
<0: 9 -4; 33 38; 9 -4
9 65; 33 38; 9 -4
<0: 10 -4; 33 39; 10 -4
10 73; 33 39; 10 -4
<0: 11 -4; 33 40; 11 -4
11 81; 33 40; 11 -4
<0: 12 -4; 33 41; 12 -4
12 89; 33 41; 12 -4
<0: 13 -4; 33 42; 13 -4
13 97; 33 42; 13 -4
<0: 14 -4; 33 43; 14 -4
14 105; 33 43; 14 -4
<0: 15 -4; 33 44; 15 -4
15 113; 33 44; 15 -4
<0: 16 -4; 33 45; 16 -4
16 121; 33 45; 16 -4
<0: 17 -4; 33 46; 17 -4
17 129; 33 46; 17 -4
<0: 18 -4; 33 47; 18 -4
18 137; 33 47; 18 -4
<0: 19 -4; 33 48; 19 -4
19 145; 33 48; 19 -4
<0: 20 -4; 33 49; 20 -4
20 153; 33 49; 20 -4
<0: 21 -4; 33 50; 21 -4
21 161; 33 50; 21 -4
<0: 22 -4; 33 51; 22 -4
22 169; 33 51; 22 -4
<0: 23 -4; 33 52; 23 -4
23 177; 33 52; 23 -4
<0: 24 -4; 33 53; 24 -4
24 185; 33 53; 24 -4
<0: 25 -4; 33 54; 25 -4
25 193; 33 54; 25 -4
<0: 26 -4; 33 55; 26 -4
26 201; 33 55; 26 -4
<0: 27 -4; 33 56; 27 -4
27 209; 33 56; 27 -4
<0: 28 -4; 33 57; 28 -4
28 217; 33 57; 28 -4
<0: 29 -4; 33 58; 29 -4
29 225; 33 58; 29 -4
<0: 30 -4; 33 59; 30 -4
30 233; 33 59; 30 -4
<0: 30 -115; 34 0; -30 -5
30 122; 34 0; -30 -5
<0: 29 -111; 34 1; -29 -5
29 118; 34 1; -29 -5
<0: 28 -107; 34 2; -28 -5
28 114; 34 2; -28 -5
<0: 27 -103; 34 3; -27 -5
27 110; 34 3; -27 -5
<0: 26 -99; 34 4; -26 -5
26 106; 34 4; -26 -5
<0: 25 -95; 34 5; -25 -5
25 102; 34 5; -25 -5
<0: 24 -91; 34 6; -24 -5
24 98; 34 6; -24 -5
<0: 23 -87; 34 7; -23 -5
23 94; 34 7; -23 -5
<0: 22 -83; 34 8; -22 -5
22 90; 34 8; -22 -5
<0: 21 -79; 34 9; -21 -5
21 86; 34 9; -21 -5
<0: 20 -75; 34 10; -20 -5
20 82; 34 10; -20 -5
<0: 19 -71; 34 11; -19 -5
19 78; 34 11; -19 -5
<0: 18 -67; 34 12; -18 -5
18 74; 34 12; -18 -5
<0: 17 -63; 34 13; -17 -5
17 70; 34 13; -17 -5
<0: 16 -59; 34 14; -16 -5
16 66; 34 14; -16 -5
<0: 15 -55; 34 15; -15 -5
15 62; 34 15; -15 -5
<0: 14 -51; 34 16; -14 -5
14 58; 34 16; -14 -5
<0: 13 -47; 34 17; -13 -5
13 54; 34 17; -13 -5
<0: 12 -43; 34 18; -12 -5
12 50; 34 18; -12 -5
<0: 11 -39; 34 19; -11 -5
11 46; 34 19; -11 -5
<0: 10 -35; 34 20; -10 -5
10 42; 34 20; -10 -5
<0: 9 -31; 34 21; -9 -5
9 38; 34 21; -9 -5
<0: 8 -27; 34 22; -8 -5
8 34; 34 22; -8 -5
<0: 7 -23; 34 23; -7 -5
7 30; 34 23; -7 -5
<0: 6 -19; 34 24; -6 -5
6 26; 34 24; -6 -5
<0: 5 -15; 34 25; -5 -5
5 22; 34 25; -5 -5
<0: 5 -14; 34 26; -4 -5
5 23; 34 26; -4 -5
<0: 5 -13; 34 27; -3 -5
5 24; 34 27; -3 -5
<0: 5 -12; 34 28; -2 -5
5 25; 34 28; -2 -5
<0: 5 -11; 34 29; -1 -5
5 26; 34 29; -1 -5
<0: 5 -9; 34 30; 1 -5
5 28; 34 30; 1 -5
<0: 5 -8; 34 31; 2 -5
5 29; 34 31; 2 -5
<0: 5 -7; 34 32; 3 -5
5 30; 34 32; 3 -5
<0: 5 -6; 34 33; 4 -5
5 31; 34 33; 4 -5
<0: 5 -5; 34 34; 5 -5
5 32; 34 34; 5 -5
<0: 6 -5; 34 35; 6 -5
6 40; 34 35; 6 -5
<0: 7 -5; 34 36; 7 -5
7 48; 34 36; 7 -5
<0: 8 -5; 34 37; 8 -5
8 56; 34 37; 8 -5
<0: 9 -5; 34 38; 9 -5
9 64; 34 38; 9 -5
<0: 10 -5; 34 39; 10 -5
10 72; 34 39; 10 -5
<0: 11 -5; 34 40; 11 -5
11 80; 34 40; 11 -5
<0: 12 -5; 34 41; 12 -5
12 88; 34 41; 12 -5
<0: 13 -5; 34 42; 13 -5
13 96; 34 42; 13 -5
<0: 14 -5; 34 43; 14 -5
14 104; 34 43; 14 -5
<0: 15 -5; 34 44; 15 -5
15 112; 34 44; 15 -5
<0: 16 -5; 34 45; 16 -5
16 120; 34 45; 16 -5
<0: 17 -5; 34 46; 17 -5
17 128; 34 46; 17 -5
<0: 18 -5; 34 47; 18 -5
18 136; 34 47; 18 -5
<0: 19 -5; 34 48; 19 -5
19 144; 34 48; 19 -5
<0: 20 -5; 34 49; 20 -5
20 152; 34 49; 20 -5
<0: 21 -5; 34 50; 21 -5
21 160; 34 50; 21 -5
<0: 22 -5; 34 51; 22 -5
22 168; 34 51; 22 -5
<0: 23 -5; 34 52; 23 -5
23 176; 34 52; 23 -5
<0: 24 -5; 34 53; 24 -5
24 184; 34 53; 24 -5
<0: 25 -5; 34 54; 25 -5
25 192; 34 54; 25 -5
<0: 26 -5; 34 55; 26 -5
26 200; 34 55; 26 -5
<0: 27 -5; 34 56; 27 -5
27 208; 34 56; 27 -5
<0: 28 -5; 34 57; 28 -5
28 216; 34 57; 28 -5
<0: 29 -5; 34 58; 29 -5
29 224; 34 58; 29 -5
<0: 30 -5; 34 59; 30 -5
30 232; 34 59; 30 -5
<0: 30 -114; 35 0; -30 -6
30 123; 35 0; -30 -6
<0: 29 -110; 35 1; -29 -6
29 119; 35 1; -29 -6
<0: 28 -106; 35 2; -28 -6
28 115; 35 2; -28 -6
<0: 27 -102; 35 3; -27 -6
27 111; 35 3; -27 -6
<0: 26 -98; 35 4; -26 -6
26 107; 35 4; -26 -6
<0: 25 -94; 35 5; -25 -6
25 103; 35 5; -25 -6
<0: 24 -90; 35 6; -24 -6
24 99; 35 6; -24 -6
<0: 23 -86; 35 7; -23 -6
23 95; 35 7; -23 -6
<0: 22 -82; 35 8; -22 -6
22 91; 35 8; -22 -6
<0: 21 -78; 35 9; -21 -6
21 87; 35 9; -21 -6
<0: 20 -74; 35 10; -20 -6
20 83; 35 10; -20 -6
<0: 19 -70; 35 11; -19 -6
19 79; 35 11; -19 -6
<0: 18 -66; 35 12; -18 -6
18 75; 35 12; -18 -6
<0: 17 -62; 35 13; -17 -6
17 71; 35 13; -17 -6
<0: 16 -58; 35 14; -16 -6
16 67; 35 14; -16 -6
<0: 15 -54; 35 15; -15 -6
15 63; 35 15; -15 -6
<0: 14 -50; 35 16; -14 -6
14 59; 35 16; -14 -6
<0: 13 -46; 35 17; -13 -6
13 55; 35 17; -13 -6
<0: 12 -42; 35 18; -12 -6
12 51; 35 18; -12 -6
<0: 11 -38; 35 19; -11 -6
11 47; 35 19; -11 -6
<0: 10 -34; 35 20; -10 -6
10 43; 35 20; -10 -6
<0: 9 -30; 35 21; -9 -6
9 39; 35 21; -9 -6
<0: 8 -26; 35 22; -8 -6
8 35; 35 22; -8 -6
<0: 7 -22; 35 23; -7 -6
7 31; 35 23; -7 -6
<0: 6 -18; 35 24; -6 -6
6 27; 35 24; -6 -6
<0: 6 -17; 35 25; -5 -6
6 28; 35 25; -5 -6
<0: 6 -16; 35 26; -4 -6
6 29; 35 26; -4 -6
<0: 6 -15; 35 27; -3 -6
6 30; 35 27; -3 -6
<0: 6 -14; 35 28; -2 -6
6 31; 35 28; -2 -6
<0: 6 -13; 35 29; -1 -6
6 32; 35 29; -1 -6
<0: 6 -11; 35 30; 1 -6
6 34; 35 30; 1 -6
<0: 6 -10; 35 31; 2 -6
6 35; 35 31; 2 -6
<0: 6 -9; 35 32; 3 -6
6 36; 35 32; 3 -6
<0: 6 -8; 35 33; 4 -6
6 37; 35 33; 4 -6
<0: 6 -7; 35 34; 5 -6
6 38; 35 34; 5 -6
<0: 6 -6; 35 35; 6 -6
6 39; 35 35; 6 -6
<0: 7 -6; 35 36; 7 -6
7 47; 35 36; 7 -6
<0: 8 -6; 35 37; 8 -6
8 55; 35 37; 8 -6
<0: 9 -6; 35 38; 9 -6
9 63; 35 38; 9 -6
<0: 10 -6; 35 39; 10 -6
10 71; 35 39; 10 -6
<0: 11 -6; 35 40; 11 -6
11 79; 35 40; 11 -6
<0: 12 -6; 35 41; 12 -6
12 87; 35 41; 12 -6
<0: 13 -6; 35 42; 13 -6
13 95; 35 42; 13 -6
<0: 14 -6; 35 43; 14 -6
14 103; 35 43; 14 -6
<0: 15 -6; 35 44; 15 -6
15 111; 35 44; 15 -6
<0: 16 -6; 35 45; 16 -6
16 119; 35 45; 16 -6
<0: 17 -6; 35 46; 17 -6
17 127; 35 46; 17 -6
<0: 18 -6; 35 47; 18 -6
18 135; 35 47; 18 -6
<0: 19 -6; 35 48; 19 -6
19 143; 35 48; 19 -6
<0: 20 -6; 35 49; 20 -6
20 151; 35 49; 20 -6
<0: 21 -6; 35 50; 21 -6
21 159; 35 50; 21 -6
<0: 22 -6; 35 51; 22 -6
22 167; 35 51; 22 -6
<0: 23 -6; 35 52; 23 -6
23 175; 35 52; 23 -6
<0: 24 -6; 35 53; 24 -6
24 183; 35 53; 24 -6
<0: 25 -6; 35 54; 25 -6
25 191; 35 54; 25 -6
<0: 26 -6; 35 55; 26 -6
26 199; 35 55; 26 -6
<0: 27 -6; 35 56; 27 -6
27 207; 35 56; 27 -6
<0: 28 -6; 35 57; 28 -6
28 215; 35 57; 28 -6
<0: 29 -6; 35 58; 29 -6
29 223; 35 58; 29 -6
<0: 30 -6; 35 59; 30 -6
30 231; 35 59; 30 -6
<0: 30 -113; 36 0; -30 -7
30 124; 36 0; -30 -7
<0: 29 -109; 36 1; -29 -7
29 120; 36 1; -29 -7
<0: 28 -105; 36 2; -28 -7
28 116; 36 2; -28 -7
<0: 27 -101; 36 3; -27 -7
27 112; 36 3; -27 -7
<0: 26 -97; 36 4; -26 -7
26 108; 36 4; -26 -7
<0: 25 -93; 36 5; -25 -7
25 104; 36 5; -25 -7
<0: 24 -89; 36 6; -24 -7
24 100; 36 6; -24 -7
<0: 23 -85; 36 7; -23 -7
23 96; 36 7; -23 -7
<0: 22 -81; 36 8; -22 -7
22 92; 36 8; -22 -7
<0: 21 -77; 36 9; -21 -7
21 88; 36 9; -21 -7
<0: 20 -73; 36 10; -20 -7
20 84; 36 10; -20 -7
<0: 19 -69; 36 11; -19 -7
19 80; 36 11; -19 -7
<0: 18 -65; 36 12; -18 -7
18 76; 36 12; -18 -7
<0: 17 -61; 36 13; -17 -7
17 72; 36 13; -17 -7
<0: 16 -57; 36 14; -16 -7
16 68; 36 14; -16 -7
<0: 15 -53; 36 15; -15 -7
15 64; 36 15; -15 -7
<0: 14 -49; 36 16; -14 -7
14 60; 36 16; -14 -7
<0: 13 -45; 36 17; -13 -7
13 56; 36 17; -13 -7
<0: 12 -41; 36 18; -12 -7
12 52; 36 18; -12 -7
<0: 11 -37; 36 19; -11 -7
11 48; 36 19; -11 -7
<0: 10 -33; 36 20; -10 -7
10 44; 36 20; -10 -7
<0: 9 -29; 36 21; -9 -7
9 40; 36 21; -9 -7
<0: 8 -25; 36 22; -8 -7
8 36; 36 22; -8 -7
<0: 7 -21; 36 23; -7 -7
7 32; 36 23; -7 -7
<0: 7 -20; 36 24; -6 -7
7 33; 36 24; -6 -7
<0: 7 -19; 36 25; -5 -7
7 34; 36 25; -5 -7
<0: 7 -18; 36 26; -4 -7
7 35; 36 26; -4 -7
<0: 7 -17; 36 27; -3 -7
7 36; 36 27; -3 -7
<0: 7 -16; 36 28; -2 -7
7 37; 36 28; -2 -7
<0: 7 -15; 36 29; -1 -7
7 38; 36 29; -1 -7
<0: 7 -13; 36 30; 1 -7
7 40; 36 30; 1 -7
<0: 7 -12; 36 31; 2 -7
7 41; 36 31; 2 -7
<0: 7 -11; 36 32; 3 -7
7 42; 36 32; 3 -7
<0: 7 -10; 36 33; 4 -7
7 43; 36 33; 4 -7
<0: 7 -9; 36 34; 5 -7
7 44; 36 34; 5 -7
<0: 7 -8; 36 35; 6 -7
7 45; 36 35; 6 -7
<0: 7 -7; 36 36; 7 -7
7 46; 36 36; 7 -7
<0: 8 -7; 36 37; 8 -7
8 54; 36 37; 8 -7
<0: 9 -7; 36 38; 9 -7
9 62; 36 38; 9 -7
<0: 10 -7; 36 39; 10 -7
10 70; 36 39; 10 -7
<0: 11 -7; 36 40; 11 -7
11 78; 36 40; 11 -7
<0: 12 -7; 36 41; 12 -7
12 86; 36 41; 12 -7
<0: 13 -7; 36 42; 13 -7
13 94; 36 42; 13 -7
<0: 14 -7; 36 43; 14 -7
14 102; 36 43; 14 -7
<0: 15 -7; 36 44; 15 -7
15 110; 36 44; 15 -7
<0: 16 -7; 36 45; 16 -7
16 118; 36 45; 16 -7
<0: 17 -7; 36 46; 17 -7
17 126; 36 46; 17 -7
<0: 18 -7; 36 47; 18 -7
18 134; 36 47; 18 -7
<0: 19 -7; 36 48; 19 -7
19 142; 36 48; 19 -7
<0: 20 -7; 36 49; 20 -7
20 150; 36 49; 20 -7
<0: 21 -7; 36 50; 21 -7
21 158; 36 50; 21 -7
<0: 22 -7; 36 51; 22 -7
22 166; 36 51; 22 -7
<0: 23 -7; 36 52; 23 -7
23 174; 36 52; 23 -7
<0: 24 -7; 36 53; 24 -7
24 182; 36 53; 24 -7
<0: 25 -7; 36 54; 25 -7
25 190; 36 54; 25 -7
<0: 26 -7; 36 55; 26 -7
26 198; 36 55; 26 -7
<0: 27 -7; 36 56; 27 -7
27 206; 36 56; 27 -7
<0: 28 -7; 36 57; 28 -7
28 214; 36 57; 28 -7
<0: 29 -7; 36 58; 29 -7
29 222; 36 58; 29 -7
<0: 30 -7; 36 59; 30 -7
30 230; 36 59; 30 -7
<0: 30 -112; 37 0; -30 -8
30 125; 37 0; -30 -8
<0: 29 -108; 37 1; -29 -8
29 121; 37 1; -29 -8
<0: 28 -104; 37 2; -28 -8
28 117; 37 2; -28 -8
<0: 27 -100; 37 3; -27 -8
27 113; 37 3; -27 -8
<0: 26 -96; 37 4; -26 -8
26 109; 37 4; -26 -8
<0: 25 -92; 37 5; -25 -8
25 105; 37 5; -25 -8
<0: 24 -88; 37 6; -24 -8
24 101; 37 6; -24 -8
<0: 23 -84; 37 7; -23 -8
23 97; 37 7; -23 -8
<0: 22 -80; 37 8; -22 -8
22 93; 37 8; -22 -8
<0: 21 -76; 37 9; -21 -8
21 89; 37 9; -21 -8
<0: 20 -72; 37 10; -20 -8
20 85; 37 10; -20 -8
<0: 19 -68; 37 11; -19 -8
19 81; 37 11; -19 -8
<0: 18 -64; 37 12; -18 -8
18 77; 37 12; -18 -8
<0: 17 -60; 37 13; -17 -8
17 73; 37 13; -17 -8
<0: 16 -56; 37 14; -16 -8
16 69; 37 14; -16 -8
<0: 15 -52; 37 15; -15 -8
15 65; 37 15; -15 -8
<0: 14 -48; 37 16; -14 -8
14 61; 37 16; -14 -8
<0: 13 -44; 37 17; -13 -8
13 57; 37 17; -13 -8
<0: 12 -40; 37 18; -12 -8
12 53; 37 18; -12 -8
<0: 11 -36; 37 19; -11 -8
11 49; 37 19; -11 -8
<0: 10 -32; 37 20; -10 -8
10 45; 37 20; -10 -8
<0: 9 -28; 37 21; -9 -8
9 41; 37 21; -9 -8
<0: 8 -24; 37 22; -8 -8
8 37; 37 22; -8 -8
<0: 8 -23; 37 23; -7 -8
8 38; 37 23; -7 -8
<0: 8 -22; 37 24; -6 -8
8 39; 37 24; -6 -8
<0: 8 -21; 37 25; -5 -8
8 40; 37 25; -5 -8
<0: 8 -20; 37 26; -4 -8
8 41; 37 26; -4 -8
<0: 8 -19; 37 27; -3 -8
8 42; 37 27; -3 -8
<0: 8 -18; 37 28; -2 -8
8 43; 37 28; -2 -8
<0: 8 -17; 37 29; -1 -8
8 44; 37 29; -1 -8
<0: 8 -15; 37 30; 1 -8
8 46; 37 30; 1 -8
<0: 8 -14; 37 31; 2 -8
8 47; 37 31; 2 -8
<0: 8 -13; 37 32; 3 -8
8 48; 37 32; 3 -8
<0: 8 -12; 37 33; 4 -8
8 49; 37 33; 4 -8
<0: 8 -11; 37 34; 5 -8
8 50; 37 34; 5 -8
<0: 8 -10; 37 35; 6 -8
8 51; 37 35; 6 -8
<0: 8 -9; 37 36; 7 -8
8 52; 37 36; 7 -8
<0: 8 -8; 37 37; 8 -8
8 53; 37 37; 8 -8
<0: 9 -8; 37 38; 9 -8
9 61; 37 38; 9 -8
<0: 10 -8; 37 39; 10 -8
10 69; 37 39; 10 -8
<0: 11 -8; 37 40; 11 -8
11 77; 37 40; 11 -8
<0: 12 -8; 37 41; 12 -8
12 85; 37 41; 12 -8
<0: 13 -8; 37 42; 13 -8
13 93; 37 42; 13 -8
<0: 14 -8; 37 43; 14 -8
14 101; 37 43; 14 -8
<0: 15 -8; 37 44; 15 -8
15 109; 37 44; 15 -8
<0: 16 -8; 37 45; 16 -8
16 117; 37 45; 16 -8
<0: 17 -8; 37 46; 17 -8
17 125; 37 46; 17 -8
<0: 18 -8; 37 47; 18 -8
18 133; 37 47; 18 -8
<0: 19 -8; 37 48; 19 -8
19 141; 37 48; 19 -8
<0: 20 -8; 37 49; 20 -8
20 149; 37 49; 20 -8
<0: 21 -8; 37 50; 21 -8
21 157; 37 50; 21 -8
<0: 22 -8; 37 51; 22 -8
22 165; 37 51; 22 -8
<0: 23 -8; 37 52; 23 -8
23 173; 37 52; 23 -8
<0: 24 -8; 37 53; 24 -8
24 181; 37 53; 24 -8
<0: 25 -8; 37 54; 25 -8
25 189; 37 54; 25 -8
<0: 26 -8; 37 55; 26 -8
26 197; 37 55; 26 -8
<0: 27 -8; 37 56; 27 -8
27 205; 37 56; 27 -8
<0: 28 -8; 37 57; 28 -8
28 213; 37 57; 28 -8
<0: 29 -8; 37 58; 29 -8
